zip_code,median_household_income_acs2019,derived_income_quartile
06106,36460,1
06107,133519,4
06108,51722,2
06109,86216,4
06110,73938,3
06111,81646,3
06112,38557,1
06114,37756,1
06117,143141,4
06118,61314,3
06119,88963,4
06120,27324,1
06226,37339,1
06231,125430,4
06232,105328,4
06234,76156,3
06235,76750,3
06237,109712,4
06238,96375,4
06239,54580,2
06241,71635,3
06242,94375,4
06247,80129,3
06248,111758,4
06249,91684,4
06250,88611,4
06254,96719,4
06255,76375,3
06256,52978,2
06259,94722,4
06260,60290,2
06262,62946,3
06264,88750,4
06266,60895,2
06268,47510,1
06277,87091,4
06278,70893,3
06279,76908,3
06280,77750,3
06281,84200,4
06282,91131,4
06320,46341,1
06330,70067,3
06331,91973,4
06332,73214,3
06333,126799,4
06334,88750,4
06335,97347,4
06336,200114,4
06339,93628,4
06340,59240,2
06350,61250,3
06351,70110,3
06354,66851,3
06355,96687,4
06357,79333,3
06359,68375,3
06360,58269,2
06365,79444,3
06370,79980,3
06371,97334,4
06374,72828,3
06375,97750,4
06377,83102,4
06378,98594,4
06379,66648,3
06380,38319,1
06382,70610,3
06384,75000,3
